ux,uy
-1.207025498858299529e-03,-8.502063616567228505e-03
1.818779254832218403e-02,-2.024049069430136540e-03
-1.991659525303065073e-02,6.300252686300705611e-03
-1.984230952475707008e-02,-1.335977066531549929e-03
6.812732882876160363e-03,-5.646290685664205958e-03
-1.169763430816816649e-02,-5.627618915551472556e-04
2.113742204270090824e-02,4.337539291662710975e-03
-1.981641583414613453e-02,6.184852923264544909e-03
-1.406394930193903027e-02,-3.244954967906610202e-04
-4.309963963686072770e-03,5.949435699837851178e-03
4.228982035401897613e-03,9.373903137056313617e-03
-1.561624143305914703e-02,3.171671854097839367e-03
-1.763139106414321521e-03,-7.206072805907924594e-03
-2.208322623937299459e-02,0.000000000000000000e+00
1.003365196003211043e-03,1.047337389945169304e-02
4.820180229075350133e-03,8.733850003075057170e-03
-1.051318822802740915e-02,-2.914252905364379809e-03
3.729924011270360079e-02,-4.603588300890811436e-04
-5.852173174547775115e-03,9.788641254675073400e-03
1.404685383502164361e-02,1.469875991678527968e-03
-2.819404998668823339e-02,0.000000000000000000e+00
-1.933367557609895135e-02,-5.578560066937726181e-04
-1.505697730367410586e-02,-3.143345997309542755e-03
-1.355824820981950396e-02,-1.848126547680165716e-04
1.946891648395094850e-03,8.550065235400748295e-03
3.785921741980436545e-02,-2.945651745936657471e-04
2.934754566246791999e-02,-2.714222660222286206e-03
2.235510898831626330e-03,-1.024950980960651244e-02
-3.060524474958920688e-02,2.726840703209269367e-03
-3.727997059136690938e-02,2.687537261947093399e-04
-7.164770579120086948e-03,6.373981039622148362e-03
2.375900624760424532e-02,1.910132391615971788e-03
-1.562042065322774911e-02,-6.924392989143276318e-04
-1.751398649211612785e-02,-3.424813931693720080e-03
0.000000000000000000e+00,-4.828279720756856533e-03
1.574554114553085304e-02,6.198767900863245105e-03
-2.545701059953355341e-02,0.000000000000000000e+00
1.464563022906192023e-02,-5.601781452613129389e-03
6.781098789056599734e-03,9.360690217639895325e-03
-4.802012709173692460e-03,9.710903731489842552e-03
2.883431973562804521e-02,-1.228028610111036060e-03
-3.051009575176373036e-03,1.023963927805882947e-02
-1.375740818461246989e-02,4.418878293615954682e-03
1.782690439300779403e-02,-2.956965925040678806e-03
2.948074573785929714e-02,1.886312637768747496e-04
-2.240194740219966091e-02,-2.062240946624247645e-03
2.051073354668879467e-02,-9.846985063465092062e-04
2.106928574391491241e-02,0.000000000000000000e+00
-2.512026832867551851e-02,6.178875426418500892e-04
-3.055698298889658951e-02,-2.592487794707335185e-04
-1.346825831510024482e-02,0.000000000000000000e+00
2.857265210060919158e-02,1.458356779141801052e-03
-4.358266606549079589e-03,-6.313066803517637833e-03
-7.030638450252875427e-03,9.600094011032428432e-03
-1.039684231258653294e-02,8.507463193150039196e-03
3.332237459277645475e-02,-1.683161471738292385e-03
5.185209806046198189e-03,-9.683742568158662870e-03
1.759460247100025354e-02,5.815899223457427283e-03
3.073438010797121742e-02,-1.958628465974406865e-04
1.325195411145847768e-02,-9.295323679077044030e-03
-6.080037389772309855e-03,9.662619972740722069e-03
-2.082025823063553618e-02,1.213735502989666919e-03
1.786206398169105578e-02,-7.769696964841663576e-03
-3.659830536530180034e-02,0.000000000000000000e+00
-4.684762979778468728e-03,7.752177805323683460e-03
-3.036445139217555308e-02,1.359833746754671733e-03
3.106605565105720682e-02,3.802349841835769395e-04
0.000000000000000000e+00,-5.385250766198786988e-03
-5.422094025560107548e-04,-8.403664037991651417e-03
3.321904982742106965e-02,2.630893377963282233e-04
0.000000000000000000e+00,5.730696167714412204e-03
-2.038062633380866191e-03,1.030849738879083960e-02
-3.693563161857593008e-02,5.440795251425222879e-04
2.849632890036915209e-02,1.545259287307603488e-03
-2.657315914497625220e-02,0.000000000000000000e+00
3.543529720154890705e-02,0.000000000000000000e+00
1.109772596903837658e-02,-6.852243037699321145e-03
-1.466005052561533163e-02,-4.139779250392171088e-03
-8.444069677723290909e-03,-3.265035943700867783e-03
-1.912252311582355799e-02,-2.304071239655392303e-03
-9.639792376998664383e-03,8.166663351029663023e-03
-3.151851736204432097e-02,-2.981857138142928495e-04
0.000000000000000000e+00,1.062942938494130206e-02
0.000000000000000000e+00,7.573110088580533618e-03
6.819169602387363874e-03,8.456469195123267682e-03
1.409945390107088248e-02,2.733412013292851796e-03
2.698397953402024638e-02,1.987923951781014192e-03
-5.379824871528223786e-03,9.674391737035293107e-03
2.916198980330499471e-02,-3.245683802141192519e-03
-1.516353953716161745e-02,-3.083941955999043583e-03
2.498135419552646383e-02,-6.328696692499878812e-04
1.459385569812214015e-03,7.163088660791223569e-03
-1.478629667539580958e-02,-3.360974359431363225e-03
3.186632745691269503e-02,-8.957897440118188677e-04
-1.175202618562465849e-02,4.001981525974041172e-03
8.026075104516753461e-03,-1.028663276088735354e-02
2.949868303132151953e-02,-2.764950102573995264e-03
3.373882212131943878e-03,1.012455055466456033e-02
-1.010810999550195745e-02,-5.533444956839564388e-03
0.000000000000000000e+00,1.058058748124696830e-02
-2.521212307564382749e-02,-1.356508075818544127e-03
-4.228162310962365472e-02,0.000000000000000000e+00
2.806354554689554758e-03,-5.192484250241585948e-03
8.546362428585826607e-03,7.215822667855701505e-03
1.286655757313374254e-02,6.247293350398781288e-03
-9.023870288830575584e-03,-5.476537852042029884e-03
6.803639382784091097e-03,-9.256105611728356053e-03
1.238463221183111820e-02,-1.744478515801721041e-03
-3.248263522722122376e-02,6.241120510415003623e-04
-1.575371505306455769e-02,6.067715841628741093e-03
3.369645215044592829e-02,1.799576969841924594e-04
3.118377738757589085e-02,-9.695716496472857457e-04
2.288721214013450175e-02,0.000000000000000000e+00
-1.741216355110355649e-02,-3.426195802463997530e-03
-1.050626791275277539e-03,1.029885511838278533e-02
6.915826708443349909e-03,8.392121470577423165e-03
1.454515055124585253e-02,-5.620434865417823014e-03
2.970330279984692221e-02,7.173416933813526889e-04
-2.051667821093394392e-02,0.000000000000000000e+00
-2.760876192591955186e-04,-8.975358523449161741e-03
3.599034479330946029e-02,-7.484606207106772472e-04
-1.549398586411127911e-02,2.725047773778681293e-03
2.483691837816981093e-02,2.021279285606904837e-03
-2.349682261567588581e-02,-6.755417919261628729e-04
3.489969524874210471e-02,-6.947155579256601449e-04
1.910138234858830761e-03,1.001415193377985097e-02
0.000000000000000000e+00,-1.062842738231329145e-02
-2.638947774697422352e-02,0.000000000000000000e+00
2.929698724321267225e-02,-2.496472749936302308e-03
1.438858176811374547e-02,-4.967943144471502308e-03
-9.630561601450217044e-03,5.664695497183680484e-03
2.044190815365928490e-02,-6.269333954045199810e-03
1.596969472989828026e-02,-7.923882178677229410e-03
2.339471206605988479e-02,-2.454224635106278841e-03
1.228099623305140692e-02,-7.602384084515357611e-03
2.770414901065697266e-02,1.184649939509585656e-03
-3.292435880392590667e-03,1.004099377101356182e-02
5.810691873410980682e-04,1.052045885637152740e-02
-1.460886385749036488e-02,-1.857368368323623420e-03
-6.485875464510478146e-03,-2.653779588555156208e-03
2.337893452473896114e-02,1.949721219985337635e-03
-2.730011403535197861e-02,-1.463739676454035453e-04
1.631750271681561143e-02,5.803322343559427082e-03
2.888448459041095557e-03,1.013012889673884157e-02
-3.262483317421378121e-02,-1.079504790931805412e-04
8.062046222566574775e-04,-1.162812665360467117e-02
0.000000000000000000e+00,5.160572322179700008e-03
1.990122131448822732e-02,3.949508238629164183e-03
-1.247809229545327305e-03,1.020858716553605869e-02
-1.324119817206516336e-02,-9.940133930205342742e-04
2.617124913895697499e-02,-2.730727907540147700e-03
-4.316064685307402504e-03,8.821315194306674629e-03
-2.570018229846778371e-02,3.744022327173355744e-03
2.773219492591253322e-03,-5.903558543071270835e-03
1.030405413703728082e-02,5.703031958404816346e-03
3.659093042349708530e-02,-4.773827033887122835e-04
-4.725631043895570441e-03,7.082843225789051643e-03
-7.150116118004807078e-03,-5.956861725087792686e-03
-2.841451143903180390e-02,0.000000000000000000e+00
-7.168863960100840989e-03,7.628177850897570377e-04
2.778431595119748229e-02,-2.464556282486080226e-03
-3.520790996547493385e-04,1.009869870364422072e-02
-2.519404235949018050e-02,7.010474438426229178e-04
-6.599876055260759690e-03,-3.035601856976886340e-03
1.408382630956511337e-03,1.052504196460385399e-02
-8.071110030037874361e-03,-3.139006741124870849e-03
0.000000000000000000e+00,-8.738491012846818368e-03
