n0,n1,n2
251,565,808
251,495,236
495,251,339
854,514,802
396,565,251
546,881,816
137,99,14
848,709,193
841,709,266
697,709,888
709,697,193
756,777,212
5,802,224
5,854,802
514,334,802
334,396,802
217,400,63
546,217,63
99,600,888
137,600,99
600,697,888
401,137,14
393,36,63
777,911,767
756,911,777
911,493,688
241,756,212
756,241,681
252,894,493
911,252,493
252,911,756
626,756,681
502,252,435
226,126,808
495,477,236
854,149,609
5,149,854
609,149,671
149,224,671
149,5,224
881,819,816
175,841,266
762,936,400
526,762,400
385,813,327
697,332,446
600,332,697
332,600,137
401,332,137
332,401,955
903,955,952
332,903,446
903,332,955
309,255,907
441,709,848
283,576,174
576,701,174
792,917,193
438,329,448
438,372,329
200,216,318
36,373,671
544,965,540
654,721,870
127,141,20
141,216,20
216,141,318
477,559,236
559,477,116
241,124,681
124,241,128
856,252,756
626,856,756
868,580,814
580,868,128
753,957,40
311,835,392
652,502,435
502,652,795
252,185,894
502,185,252
493,516,688
226,759,126
25,820,17
321,777,767
173,321,767
396,625,565
16,849,514
854,16,514
16,854,609
712,16,609
34,334,514
849,34,514
334,34,396
774,16,712
16,774,849
34,209,396
209,34,849
175,628,841
628,175,618
159,628,618
457,218,618
101,819,881
546,101,881
101,36,671
101,546,63
36,101,63
862,314,949
390,862,949
286,74,20
216,286,20
704,783,217
783,526,400
217,783,400
511,729,512
908,813,601
813,908,327
796,8,919
719,797,309
283,420,576
441,420,709
420,283,709
800,283,174
719,791,604
791,719,309
791,309,907
766,791,907
303,715,369
715,303,950
71,664,848
489,664,653
489,701,576
701,489,653
664,489,848
489,441,848
420,489,576
489,420,441
806,746,18
71,746,664
664,746,653
746,498,653
663,482,852
701,737,174
482,737,498
737,482,663
60,806,18
54,60,892
791,39,604
60,713,87
372,279,329
762,824,936
824,200,936
824,216,200
286,824,762
824,286,216
200,959,936
936,959,400
400,959,63
959,144,63
738,169,49
169,393,63
169,738,393
438,227,822
118,609,671
373,437,671
437,118,671
329,168,448
738,940,393
940,738,49
647,601,163
647,267,601
398,965,352
165,270,171
270,165,163
165,647,163
742,699,616
673,895,616
895,742,616
721,466,870
598,654,127
74,598,20
598,127,20
286,331,74
307,141,822
141,307,318
227,307,822
307,227,318
121,385,327
921,121,327
470,796,919
470,13,588
13,470,520
911,871,767
871,559,116
871,173,767
252,794,435
794,228,435
858,809,40
957,858,40
510,626,681
835,107,533
311,107,835
799,444,392
444,799,702
835,640,392
640,799,392
684,640,835
640,684,799
367,835,533
684,367,408
367,684,835
210,234,705
117,172,637
117,262,268
455,401,14
455,235,401
66,621,551
894,621,493
891,621,894
621,891,551
930,633,688
897,99,888
709,897,888
786,343,853
786,662,343
386,662,230
0,119,319
131,62,581
661,580,690
661,62,131
62,361,581
361,62,59
361,59,253
59,211,253
251,211,339
253,211,251
820,380,17
968,25,212
968,820,25
777,968,212
380,968,777
968,380,820
357,430,690
538,684,408
684,129,608
129,198,608
198,129,37
538,129,684
929,129,408
129,538,408
229,684,608
684,229,799
799,229,702
198,879,608
189,771,293
771,189,37
129,771,37
771,129,929
199,131,581
199,184,189
184,199,581
189,134,37
743,251,808
126,743,808
173,378,26
378,871,116
871,378,173
232,173,26
173,232,321
271,495,339
730,211,59
625,597,565
597,427,565
471,625,396
597,471,223
471,597,625
354,209,849
277,314,872
457,277,218
218,839,618
243,628,159
841,243,501
628,243,841
175,583,618
583,457,618
457,583,924
583,800,924
669,277,872
277,669,218
231,772,546
454,72,231
454,546,816
454,231,546
314,28,872
28,529,872
862,28,314
303,316,950
602,65,108
668,908,601
591,668,796
668,591,908
591,921,327
908,591,327
267,877,601
877,8,601
136,719,604
719,136,213
39,136,604
309,379,255
797,379,309
161,379,797
148,719,213
148,797,719
148,161,797
846,663,852
744,457,924
7,399,294
399,729,294
729,399,512
7,403,658
403,2,658
2,403,390
403,7,294
403,862,390
152,403,294
403,152,862
345,7,658
345,2,852
2,345,658
511,345,315
345,399,7
345,482,315
482,345,852
345,511,512
399,345,512
715,500,499
522,746,806
746,522,498
60,522,806
522,60,54
522,482,498
151,766,907
827,210,705
813,827,705
827,813,385
114,71,848
71,114,917
114,848,193
917,114,193
746,41,18
41,746,71
41,71,917
792,41,917
41,60,18
41,713,60
498,53,653
737,53,498
53,701,653
53,737,701
60,333,892
333,60,87
333,39,791
333,766,892
333,791,766
676,323,685
323,676,720
959,836,144
360,169,63
168,726,448
726,940,49
940,726,168
227,201,318
118,683,609
437,683,118
683,712,609
923,566,622
971,168,329
778,398,352
346,965,544
346,923,965
346,566,923
33,346,544
566,346,33
699,572,616
270,572,171
616,572,163
572,270,163
926,895,296
752,432,439
752,946,520
432,752,919
752,470,919
470,752,520
13,790,588
654,790,721
790,13,721
598,790,654
790,598,74
331,790,74
761,13,520
946,761,520
761,946,466
13,761,721
761,466,721
715,197,369
591,629,921
470,629,796
629,591,796
670,871,911
871,670,559
559,670,236
467,124,128
467,630,124
868,467,128
630,467,868
160,957,753
124,160,753
630,160,124
58,682,491
58,491,382
776,58,382
682,951,491
491,951,382
634,951,682
951,634,809
776,821,228
652,465,795
465,172,795
172,465,637
637,44,188
856,941,252
941,794,252
324,776,228
794,324,228
324,58,776
324,941,374
941,324,794
858,133,809
133,582,809
256,856,626
510,256,626
510,93,353
93,111,353
958,311,392
220,1,745
745,1,533
1,367,533
46,220,745
582,337,809
337,582,264
46,337,220
1,337,264
337,1,220
545,716,112
545,112,585
248,545,585
951,545,382
248,733,188
960,248,585
801,960,585
960,801,695
960,733,248
733,960,695
9,234,210
191,875,823
343,615,853
692,117,637
117,692,262
692,637,188
262,692,188
66,391,268
391,117,268
391,66,551
891,391,551
391,891,172
117,391,172
574,185,502
185,574,894
574,110,894
